"date","value","topic","variable","location","unit","origin","update","public","description"
2020-01-01,9143,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-02,7079,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-03,11660,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-04,9932,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-05,11156,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-06,21527,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-07,23220,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-08,22691,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-09,24424,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-10,22636,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-11,15455,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-12,12423,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-13,23863,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-14,28388,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-15,28752,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-16,29519,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-17,21553,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-18,15785,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-19,11936,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-20,24204,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-21,25817,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-22,24583,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-23,23788,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-24,23021,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-25,14033,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
2020-01-26,12492,"mobilität","velo_tot_261","Stadt Zürich","Anzahl Velos","Stadt Zürich","daily","ja","kumulierte tägliche Anzahl Velos an allen Velo-zählstellen der Stadt Zürich"
